Assembly Accession,Assembly Name,Organism Name,Organism Taxonomic ID,Organism Infraspecific Names Breed,Organism Infraspecific Names Strain,Organism Infraspecific Names Cultivar,Organism Infraspecific Names Ecotype,Organism Infraspecific Names Isolate,Organism Infraspecific Names Sex,Annotation Name,Assembly Stats Total Sequence Length,Assembly Stats Total Number of Chromosomes,Assembly Level,Assembly Release Date,WGS project accession,Assembly Stats Number of Scaffolds
GCA_034359265.1,ASM3435926v1,Canna indica,4628,,,,,,,Annotation submitted by Guizhou University,752924351,9,Complete Genome,12/13/23,,9
GCA_025177825.1,AF01,Aechmea fasciata,326768,,,,,CATAS_1997,,,347866674,24,Complete Genome,9/15/22,JAHZMM01,24
GCA_031232105.1,ASM3123210v1,Capsicum rhomboideum,462292,,,Andean,,CrT2T,,,1707653203,13,Complete Genome,9/7/23,,13
GCA_037974665.1,Ehretia_macrophylla_alt_v1.0,Ehretia macrophylla,163083,,,,China,SC-2024a,,,1580120887,20,Complete Genome,4/8/24,JBBJCH01,20
GCA_039513925.1,PZIJ_v1.0,Platanthera zijinensis,2320716,,,,,Lor287,,Annotation submitted by Fujian Agriculture and Forestry University,4186550321,21,Complete Genome,5/9/24,JBBWWQ01,21
GCA_037833965.1,MpTak2_v7.1,Marchantia polymorpha subsp. ruderalis,1480154,,Takaragaike-2,,,,female,Annotation submitted by National Institute of Genetics,241484302,9,Chromosome,3/27/24,,9
GCA_900231445.1,Svevo.v1,Triticum turgidum subsp. durum,4567,,,,,,,Annotation submitted by ITB-CNR,9964338633,14,Chromosome,2/13/19,,14
GCA_916181665.1,Oat OT3098 v2,Avena sativa,4498,,,,,,,,10840658271,22,Chromosome,2/2/22,,22
GCA_947561735.1,pearl_millet_23DB_ONT_assembly,Cenchrus americanus,4543,,,,,,,,1778181882,7,Chromosome,1/10/23,,7
GCA_902687465.1,Rye_Lo7_2018_v1p1p1,Secale cereale,4550,,,,,,,,6735227109,8,Chromosome,1/26/21,,8
GCF_001625215.2,DH1 v3.0,Daucus carota subsp. sativus,79200,,,,,,,GCF_001625215.2-RS_2024_03,440713325,9,Chromosome,10/20/23,,9
GCA_030408175.1,UTM_Trep_v1.0,Trifolium repens,3899,,,,,ACLI19,,Annotation submitted by University of Toronto Mississauga,967718717,16,Chromosome,7/5/23,,16
GCA_905216605.1,AARE701a,Arabidopsis arenosa,38785,,,,,,,Annotation submitted by MPI FOR DEVELOPMENTAL BIOLOGY,149659193,8,Chromosome,2/13/21,,8
GCA_025502765.1,ASM2550276v1,Gossypium herbaceum,34274,,,,,Zhongcao1,,,1490728467,13,Chromosome,9/30/22,,13
GCA_022644695.1,ASM2264469v1,Cenchrus purpureus,154765,,,elephant grass,,,,,2017999361,14,Chromosome,3/21/22,,14
GCA_900128785.1,MPIPZ.v5,Arabis alpina,50452,,,,,,,,311642060,8,Chromosome,12/31/16,,8
GCA_036452645.1,ASM3645264v1,Capsella bursa-pastoris,3719,,,,,WGS_leaf,,,330911955,16,Chromosome,2/8/24,,16
GCA_030445155.1,ASM3044515v1,Quercus variabilis,103481,,,,,HB,,,788199556,12,Chromosome,7/13/23,,12
GCA_032464435.1,ASM3246443v1,Aegilops umbellulata,4491,,,TA1851,,,,,4226360594,7,Chromosome,10/9/23,,7
GCF_001406875.1,SPENNV200,Solanum pennellii,28526,,,,,,,NCBI Solanum pennellii Annotation Release 101,926426464,12,Chromosome,7/11/14,,12
GCF_901000735.1,CavTom2PMs-1.0,Corylus avellana,13451,,,Tombul,,,,GCF_901000735.1-RS_2023_09,369779143,11,Chromosome,11/25/20,,11
GCA_003576665.1,ASM357666v1,Ipomoea trifida,35884,,,NCNSP0306,,,,,492375559,16,Chromosome,9/19/18,,16
GCA_036885675.1,ASM3688567v1,Vigna mungo,3915,,,,,Urdbean,,Annotation submitted by National Institute of Plant Genome Research,474197000,11,Chromosome,2/27/24,,11
GCA_029677425.1,ASM2967742v1,Wolffia australiana,161112,,,,,7733,,,358772296,20,Chromosome,4/10/23,,20
GCA_028411795.1,ASM2841179v1,Euphorbia peplus,38846,,,,Ithaca,,,Annotation submitted by Cornell University,267196017,8,Chromosome,2/2/23,,8
GCA_036220445.1,ASM3622044v1,Malus hybrid cultivar,604297,,,Flame,,,,,651800906,17,Chromosome,1/25/24,,17
GCA_025503065.1,ASM2550306v1,Gossypium bickii,47622,,,,,GPG1lz,,,1605310299,13,Chromosome,9/30/22,,13
GCA_036013995.1,ASM3601399v1,Theobroma grandiflorum,108881,,,,,C1074,,,423916809,10,Chromosome,1/24/24,,10
GCA_021014915.2,BSU_IDT2_0.1,Artemisia tridentata subsp. tridentata,525641,,,,,IDT2,,,3931944258,9,Chromosome,3/22/24,,9
GCA_035233585.1,ASM3523358v1,Antiaris toxicaria,241857,,,,,JCLG002,,,681995200,13,Chromosome,1/8/24,,13
GCF_030253575.1,ASM3025357v1,Rhododendron vialii,182163,,,,,Sample 1,,GCF_030253575.1-RS_2023_07,532733691,13,Chromosome,6/12/23,,13
GCA_030063025.1,ASM3006302v1,Avena longiglumis,4500,,,,,447,,,3847578604,7,Chromosome,5/22/23,,7
GCA_027186245.1,ASM2718624v1,Coriaria nepalensis,79760,,,,,Cnep1,,,316591290,20,Chromosome,12/21/22,,20
GCA_035235625.1,ASM3523562v1,Saururus chinensis,54806,,,,,CL-2023b,,,516469500,11,Chromosome,1/8/24,,11
GCA_032401905.1,ASM3240190v1,Swietenia macrophylla,43891,,,,,HCNGB_00002344,,,248240892,28,Chromosome,10/5/23,,28
GCA_038049695.1,ASM3804969v1,Cinnamomum chago,1757932,,,,,CC202301,,,1060287469,12,Chromosome,4/10/24,,12
GCA_030664755.1,ASM3066475v1,Microcos paniculata,197124,,,,,,,,398891862,9,Chromosome,8/7/23,,9
GCA_948330725.1,daSheArve1.1,Sherardia arvensis,29803,,,,,,,,440939310,11,Chromosome,1/26/23,,11
GCA_946896805.1,daScuGale1.1,Scutellaria galericulata,53169,,,,,,,,327661284,15,Chromosome,9/21/22,,15
GCA_030345155.1,ASM3034515v1,Vitis x doaniana,884147,,,PI 588149,,,,,470358108,19,Chromosome,6/26/23,,19
GCA_036287905.1,ASM3628790v1,Corylus americana,78632,,,Rush,,,,,350176847,11,Chromosome,1/30/24,,11
GCA_008044935.1,ASM804493v1,Gossypium turneri,34284,,,,,D10-2,,,755203240,13,Chromosome,8/21/19,,13
GCA_023547065.1,ASM2354706v1,Musa troglodytarum,320322,,,karat,,,,Annotation submitted by Chinese Academy of Tropical Agricultural Sciences,603587930,10,Chromosome,5/25/22,,10
GCA_028216015.1,ASM2821601v1,Quercus dentata,103484,,,,,Qdleaves-2020,,,893536971,12,Chromosome,1/30/23,,12
GCA_963855925.1,drIngLaur1.1,Inga laurina,487684,,,,,,,,899564773,13,Chromosome,12/15/23,,13
GCA_963425845.1,hybrid_with_Hi-C,Sphenostylis stenocarpa,92480,,,,,,,Annotation submitted by International Livestock Research Institute,649801261,11,Chromosome,9/11/23,,11
GCF_003576645.1,ASM357664v1,Ipomoea triloba,35885,,,NCNSP0323,,,,NCBI Ipomoea triloba Annotation Release 100,461827428,16,Chromosome,9/19/18,,16
GCA_040448445.1,Spodiopogon sagittifolius,Spodiopogon sagittifolius,1642874,,,,Grass,Sample 1,,,815143331,10,Chromosome,7/2/24,,10
GCA_035236585.1,ASM3523658v1,Warburgia ugandensis,549619,,,,,CL-2023a,,,1122538268,14,Chromosome,1/8/24,,14
GCA_963922655.1,genome_assembly,Cardamine chenopodiifolia,3101730,,,,,,,,596734070,32,Chromosome,1/28/24,,32
GCA_005610355.1,ASM561035v1,Gossypioides kirkii,47615,,,,,,,,538061146,12,Chromosome,5/22/19,,12
GCA_025506655.1,ASM2550665v1,Gossypium rotundifolium,47633,,,,,GPK201,,,2261080708,13,Chromosome,9/30/22,,13
GCA_013348765.1,ASM1334876v1,Carpinus viminea,176864,,,,,,,,372715291,8,Chromosome,6/17/20,,8
GCA_023657505.1,ASM2365750v1,Camelina hispida,883000,,,hispida,,,,,283170699,7,Chromosome,6/7/22,,7
GCA_910596185.1,chrysanthemum makinoi genome sequence,Chrysanthemum makinoi,1478180,,,,,,,,3113668257,10,Chromosome,7/7/21,,10
GCA_949927565.1,Lactuca_saligna,Lactuca saligna,75948,,,,,,,Annotation submitted by WAGENINGEN UNIVERSITY,2165762035,10,Chromosome,6/27/23,,10
GCA_032402905.1,ASM3240290v1,Khaya senegalensis,587579,,,,,HCNGB_00002341,,,247317507,28,Chromosome,10/5/23,,28
GCF_001433935.1,IRGSP-1.0,Oryza sativa Japonica Group,39947,,,Nipponbare,,,,NCBI Oryza sativa Japonica Group Annotation Release 102,373795655,12,Chromosome,10/10/15,,55
GCF_902167145.1,Zm-B73-REFERENCE-NAM-5.0,Zea mays,4577,,,B73,,,,NCBI Zea mays Annotation Release 103,2182075994,10,Chromosome,3/21/20,CABHLF01,685
GCF_000188115.5,SL3.1,Solanum lycopersicum,4081,,,Heinz 1706,,,,NCBI Solanum lycopersicum Annotation Release 103,827361276,12,Chromosome,4/18/18,AEKE03,3064
GCF_018294505.1,IWGSC CS RefSeq v2.1,Triticum aestivum,4565,,,Chinese Spring,,,,NCBI Triticum aestivum Annotation Release 100,14566502436,21,Chromosome,5/6/21,JAGHKL01,91588
GCF_000004515.6,Glycine_max_v4.0,Glycine max,3847,,,Williams 82,,,,NCBI Glycine max Annotation Release 104,978386919,20,Chromosome,3/10/21,ACUP04,345
GCF_007990345.1,Gossypium_hirsutum_v2.1,Gossypium hirsutum,3635,,,,,1008001.06,,NCBI Gossypium hirsutum Annotation Release 101,2305241538,26,Chromosome,2/25/21,VKGJ01,1031
GCF_904849725.1,MorexV3_pseudomolecules_assembly,Hordeum vulgare subsp. vulgare,112509,,,,,,,NCBI Hordeum vulgare subsp. vulgare Annotation Release 100,4225577519,7,Chromosome,4/1/21,CAJHDD01,290
GCF_020379485.1,Da-Ae,Brassica napus,3708,,,Da-Ae,,,,NCBI Brassica napus Annotation Release 102,1001499700,19,Chromosome,10/8/21,JAGKQM01,3164
GCF_000309985.2,CAAS_Brap_v3.01,Brassica rapa,3711,,,Chiifu-401-42,,,,NCBI Brassica rapa Updated Annotation Release 103.20201202,352829610,10,Chromosome,1/23/20,AENI03,1099
GCF_000003195.3,Sorghum_bicolor_NCBIv3,Sorghum bicolor,4558,,,BTx623,,,,NCBI Sorghum bicolor Annotation Release 101,708735318,10,Chromosome,4/7/17,ABXC03,867
GCF_002114115.1,ASM211411v1,Malus domestica,3750,,,Golden Delicious,,X9273 #13,,NCBI Malus domestica Annotation Release 102,702961352,17,Chromosome,5/3/17,MJAX01,806
GCF_003473485.1,MtrunA17r5.0-ANR,Medicago truncatula,3880,,,Jemalong A17,,,,NCBI Medicago truncatula Annotation Release 102,429612362,8,Chromosome,9/12/18,PSQE01,40
GCF_000004075.3,Cucumber_9930_V3,Cucumis sativus,3659,,,9930,,,,NCBI Cucumis sativus Annotation Release 102,224801081,7,Chromosome,11/15/19,ACHR03,84
GCA_034376525.1,ASM3437652v1,Nicotiana benthamiana,4100,,,KLAB,,,,,2791887191,19,Chromosome,12/18/23,JAXGFW01,667
GCF_003086295.2,arahy.Tifrunner.gnm1.KYV3,Arachis hypogaea,3818,,,Tifrunner,,,,NCBI Arachis hypogaea Annotation Release 101,2556916893,20,Chromosome,5/30/18,PIVG01,384
GCA_003086295.3,arahy.Tifrunner.gnm2.J5K5,Arachis hypogaea,3818,,,Tifrunner,,,,,2557413415,20,Chromosome,10/16/23,PIVG02,442
GCF_002878395.1,UCD10Xv1.1,Capsicum annuum,4072,,,UCD-10X-F1,,,,NCBI Capsicum annuum Annotation Release 101,3211819707,12,Chromosome,1/30/18,NPHV01,81200
GCF_000695525.1,BOL,Brassica oleracea var. oleracea,109376,,,TO1000,,,,NCBI Brassica oleracea Annotation Release 100,488593889,9,Chromosome,5/27/14,JJMF01,32885
GCF_000346465.2,Prunus_persica_NCBIv2,Prunus persica,3760,,,Lovell,,,,NCBI Prunus persica Annotation Release 100,227411381,8,Chromosome,2/2/17,AKXU02,191
GCA_000499845.2,P. vulgaris v2.0,Phaseolus vulgaris,3885,,,G19833,,,,Annotation submitted by JGI,537154354,11,Chromosome,4/23/24,ANNZ02,1032
GCF_000499845.1,PhaVulg1_0,Phaseolus vulgaris,3885,,,G19833,,,,Annotation submitted by NCBI RefSeq,521076696,11,Chromosome,11/29/13,ANNZ01,708
GCF_025177605.1,USDA_Cmelo_AY_1.0,Cucumis melo,3656,,,AY,,,,NCBI Cucumis melo Annotation Release 102,438252206,12,Chromosome,9/14/22,JANHKN01,1309
GCF_000002425.4,Phypa V3,Physcomitrium patens,3218,,,,Gransden 2004,,,NCBI Physcomitrella patens Annotation Release 100,471852792,27,Chromosome,1/24/18,ABEU02,357
GCF_000331145.1,ASM33114v1,Cicer arietinum,3827,,,CDC Frontier,,,,NCBI Cicer arietinum Annotation Release 102,530768543,8,Chromosome,1/16/13,ANPC01,7544
GCF_001659605.2,M.esculenta_v8,Manihot esculenta,3983,,,AM560-2,,,,NCBI Manihot esculenta Annotation Release 101,639586700,18,Chromosome,8/13/21,LTYI02,102
GCF_000005505.3,Brachypodium_distachyon_v3.0,Brachypodium distachyon,15368,,Bd21,,,,,NCBI Brachypodium distachyon Annotation Release 103,271163419,5,Chromosome,1/24/18,ADDN03,14
GCA_002525835.2,ipoBat4,Ipomoea batatas,4120,,,Taizhong6,,,,,837013208,15,Chromosome,10/16/17,NXFB01,28461
GCF_002870075.4,Lsat_Salinas_v11,Lactuca sativa,4236,,,Salinas,,,,GCF_002870075.4-RS_2022_12,2589853228,9,Chromosome,11/23/22,NBSK02,91
GCF_029168945.1,ASM2916894v1,Cannabis sativa,3483,,,Pink pepper,,KNU-18-1,female,GCF_029168945.1-RS_2023_11,770269637,10,Chromosome,3/14/23,JAQSJK01,17
GCF_030052815.1,ASM3005281v1,Hevea brasiliensis,3981,,,,,MT/VB/25A 57/8,,GCF_030052815.1-RS_2023_06,1876490218,18,Chromosome,5/22/23,JARPOI01,754
GCF_000002775.5,P.trichocarpa_v4.1,Populus trichocarpa,3694,,,,,Nisqually-1,,NCBI Populus trichocarpa Annotation Release 102,392162179,19,Chromosome,10/20/22,AARH04,105
GCF_036884655.1,Cavendish_Baxijiao_AAA,Musa acuminata AAA Group,214697,,,baxijiao,,,,GCF_036884655.1-RS_2024_05,1533734047,33,Chromosome,2/28/24,JASKDL01,1085
GCA_029034555.1,KOR. cv.242-1,Citrullus lanatus,3654,,,242-1,Wild type,,,,361302394,11,Chromosome,3/14/23,JARAAO01,13
GCF_024323335.1,CAAS_Psat_ZW6_1.0,Pisum sativum,3888,,,Zhongwan6,,,,NCBI Pisum sativum Annotation Release 100,3796066963,7,Chromosome,7/19/22,JAMSHJ01,1566
GCF_002742605.1,O_europaea_v1,Olea europaea var. sylvestris,158386,,,,,,,NCBI Olea europaea var. sylvestris Annotation Release 100,1140989389,23,Chromosome,11/3/17,MSRW01,41225
GCF_002127325.2,HanXRQr2.0-SUNRISE,Helianthus annuus,4232,,,XRQ/B,,,,NCBI Helianthus annuus Annotation Release 101,3009595538,17,Chromosome,7/15/20,MNCJ02,332
GCF_000263155.2,Setaria_italica_v2.0,Setaria italica,4555,,Yugu1,,,,,NCBI Setaria italica Annotation Release 103,405732883,9,Chromosome,10/30/15,AGNK02,336
GCF_000801105.2,ASM80110v3,Raphanus sativus,3726,,,WK10039,,,,GCF_000801105.2-RS_2023_06,433430583,9,Chromosome,2/9/23,JRUI03,6422
GCA_020205605.1,ASM2020560v1,Panax ginseng,4054,,,,,WZH-0002,,,3355148547,24,Chromosome,10/4/21,JAINUU01,97
GCF_011075055.1,CATAS_Mindica_2.1,Mangifera indica,29780,,,Alphonso,,,,NCBI Mangifera indica Annotation Release 100,391961648,20,Chromosome,3/10/20,JAAHBS01,250
GCF_000442705.1,EG5,Elaeis guineensis,51953,,,,,,,NCBI Elaeis guineensis Annotation Release 102,1535021256,16,Chromosome,8/13/13,ASJS01,40348
GCA_018703725.1,ASM1870372v1,Brassica juncea,3707,,,Sichuan Huangzi,,,,,933495403,18,Chromosome,6/4/21,JAATWR01,1544
GCA_009663005.1,ASM966300v1,Actinidia chinensis,3625,,,Hongyang,,,female,,653926268,29,Chromosome,11/14/19,VIGQ01,2366
GCF_026745355.1,EL10.2,Beta vulgaris subsp. vulgaris,3555,,,EL10,,,,GCF_026745355.1-RS_2023_06,568751015,9,Chromosome,12/9/22,JAJJWK01,18
GCA_036346405.1,KIB_Pedu_3,Phyllostachys edulis,38705,,,,,GZH03,,,2034545953,24,Chromosome,2/2/24,JAYEVD01,943
GCA_020631735.1,ASM2063173v1,Saccharum officinarum,4547,,,LA-purple,,,,,6804885551,80,Chromosome,10/27/21,JAIWYO01,9617
GCF_012489685.1,LjGifu_v1.2,Lotus japonicus,34305,,,,B-129,,,GCF_012489685.1-RS_2023_06,553706387,6,Chromosome,11/15/22,,65
GCA_019514585.1,ASM1951458v1,Dendrobium officinale,142615,,,,,niu2020,,,1228668275,19,Chromosome,8/10/21,JACXSL01,1621
GCA_018997955.1,ASM1899795v1,Gossypium barbadense,3634,,,Pima90,,,,,2210132348,26,Chromosome,6/24/21,JAHMMW01,305
GCF_028751815.1,IMPLAD_Smil_shh,Salvia miltiorrhiza,226208,,,Shanhuang (shh),,,,GCF_028751815.1-RS_2023_06,530963680,8,Chromosome,2/24/23,JAPPVP01,171
GCF_000512975.1,S_indicum_v1.0,Sesamum indicum,4182,,,Zhongzhi No. 13,,,,NCBI Sesamum indicum Annotation Release 101,274906174,16,Chromosome,1/6/14,APMJ01,16368
GCA_030765085.1,ASM3076508v1,Allium cepa,4679,,,no,,,,,15932385976,19,Chromosome,8/17/23,JASFAV01,2099
GCA_037177615.1,ASM3717761v1,Pyrus communis,23211,,,d'Anjou,,,,,533400677,17,Chromosome,3/18/24,JAYKNH01,270
GCF_025698485.1,ASM2569848v2,Gossypium arboreum,29729,,,,,Shixiya-1,,GCF_025698485.1-RS_2022_12,1620504428,13,Chromosome,10/17/22,JAOWAB01,946
GCF_016808335.1,P.virgatum_v5,Panicum virgatum,38727,,AP13,,,,,NCBI Panicum virgatum Annotation Release 100,1129857985,18,Chromosome,2/10/21,JABWAI01,1089
GCF_000184155.1,FraVesHawaii_1.0,Fragaria vesca subsp. vesca,101020,,,,,,,NCBI Fragaria vesca Annotation Release 101,214217322,7,Chromosome,2/24/11,AEMH01,3047
GCA_023541355.1,O. rufipogonIRGC106523RS1,Oryza rufipogon,4529,,,,,IRGC 106523-1,,,462580640,12,Chromosome,5/25/22,JAAMOU01,143
GCF_003713225.1,Cara_1.0,Coffea arabica,13443,,,Caturra red,,CCC135-36,hermaphrodite,NCBI Coffea arabica Annotation Release 100,1094291418,22,Chromosome,11/8/18,RHJU01,2832
GCA_016801055.1,ASM1680105v1,Panax notoginseng,44586,,,,,WSSQ-2019,,,2660677618,12,Chromosome,2/4/21,JADPQE01,219
GCA_019359855.2,Kyuss_2.0,Lolium perenne,4522,,,,,Kyuss_39,,,2264761315,7,Chromosome,3/25/24,JAEVFB02,104
GCF_019359855.1,MPB_Lper_Kyuss_1697,Lolium perenne,4522,,,,,Kyuss_39,,NCBI Lolium perenne Annotation Release 100,2276788877,7,Chromosome,7/28/21,JAEVFB01,1677
GCF_000208745.1,Criollo_cocoa_genome_V2,Theobroma cacao,3641,,,B97-61/B2,,,,NCBI Theobroma cacao Annotation Release 100,324719311,10,Chromosome,7/9/16,FLSQ01,430
GCF_000741045.1,Vradiata_ver6,Vigna radiata var. radiata,3916,,,VC1973A,,,,NCBI Vigna radiata Annotation Release 101,463085359,11,Chromosome,10/28/15,JJMO01,2497
GCF_007655135.1,ASM765513v2,Punica granatum,22663,,,,,Tunisia-2019,,NCBI Punica granatum Annotation Release 100,320335647,8,Chromosome,10/22/19,MABG02,473
GCF_001411555.2,Walnut 2.0,Juglans regia,51240,,,Chandler,,,,NCBI Juglans regia Annotation Release 101,572786133,16,Chromosome,7/8/20,LIHL02,24756
GCA_012066045.3,ASM1206604v3,Morus alba,3498,,,Heyebai,,,,,336436126,14,Chromosome,10/29/20,JABXEQ01,248
GCF_004118075.2,ASM411807v2,Vigna unguiculata,3917,,,IT97K-499-35,,,,NCBI Vigna unguiculata Annotation Release 100,518595462,11,Chromosome,1/30/19,NBOW01,675
GCA_948472305.1,Hedin2 genome v1,Vicia faba,3906,,,,,,,Annotation submitted by faba bean genome consortium,11914498746,7,Chromosome,5/11/23,CATIWC01,3983
GCA_015852605.2,ASM1585260v2,Populus deltoides,3696,,,I-69,,,female,Annotation submitted by Nanjing Forestry University,424589836,19,Chromosome,12/20/21,JACEGQ02,264
GCF_001540865.1,ASM154086v1,Ananas comosus,4615,,,F153,,,,NCBI Ananas comosus Annotation Release 100,381896302,25,Chromosome,3/14/16,LODP01,3128
GCA_029852735.1,ASM2985273v1,Persea americana,3435,,,Hass,,MH2022,,Annotation submitted by University of Queensland,912940922,12,Chromosome,4/21/23,JAQQXO01,482
GCA_034621305.1,SDAU_Spim_LA1589_1.0,Solanum pimpinellifolium,4084,,,LA1589,,,,,833190614,12,Chromosome,12/27/23,JAWZUQ01,37
GCA_029641205.1,ASM2964120v1,Citrus maxima,37334,,,HZY-T,,,,,343532576,9,Chromosome,4/13/23,JAQPSH01,11
GCF_009389715.1,palm_55x_up_171113_PBpolish2nd_filt_p,Phoenix dactylifera,42345,,,Barhee BC4,,,male,NCBI Phoenix dactylifera Annotation Release 103,772315838,18,Chromosome,11/4/19,NBZB01,2389
GCF_016545825.1,ASM1654582v1,Eucalyptus grandis,71139,,,,,ANBG69807.140,,NCBI Eucalyptus grandis Annotation Release 102,615891308,11,Chromosome,1/6/21,JABKBJ01,35
GCA_002319775.1,Ft1.0,Fagopyrum tataricum,62330,,,Pinku1,,,,,505882852,8,Chromosome,9/21/17,NCTC01,7020
GCF_000340665.2,C.cajan_V1.1,Cajanus cajan,3821,,,,,,,NCBI Cajanus cajan Annotation Release 101,590369945,11,Chromosome,9/29/16,AGCT01,31510
GCF_019578655.1,ASM1957865v1,Ricinus communis,3988,,,,wild-type,WT05,,NCBI Ricinus communis Annotation Release 102,315619833,10,Chromosome,8/12/21,JAABNL01,140
GCA_018804465.1,PTv2,Populus tomentosa,118781,,,,,GM15,,Annotation submitted by Ori-Gene Co. Ltd.,738799493,38,Chromosome,6/9/21,JAAWWB01,2400
GCF_020520425.1,BTI_SOV_V1,Spinacia oleracea,3562,,,Varoflay,,,,GCF_020520425.1-RS_2023_06,894256318,6,Chromosome,10/20/21,WWFT01,244
GCF_002575655.2,Aet v5.0,Aegilops tauschii subsp. strangulata,200361,,,AL8/78,,,,NCBI Aegilops tauschii Annotation Release 102,4218064899,7,Chromosome,9/30/21,NWVB02,109196
GCF_002994745.2,RchiOBHm-V2,Rosa chinensis,74649,,,Old Blush,,,,NCBI Rosa chinensis Annotation Release 101,515118979,7,Chromosome,1/15/19,PDCK01,53
GCA_005286985.2,Setaria_viridis_v4.0,Setaria viridis,4556,,,A10,,,,Annotation submitted by DOE Joint Genome Institute,397277387,9,Chromosome,4/23/24,SNSE02,39
GCF_005286985.1,Setaria_viridis_v2.0,Setaria viridis,4556,,,A10,,,,NCBI Setaria viridis Annotation Release 100,395731502,9,Chromosome,5/14/19,SNSE01,75
GCF_030272615.1,Sugi_1.0,Cryptomeria japonica,3369,,,,,,,GCF_030272615.1-RS_2023_08,9046532310,11,Chromosome,3/31/23,BSEH01,2698
GCA_022316695.1,ASM2231669v1,Camellia oleifera,385388,,,,,CON1,,,2889508820,15,Chromosome,2/24/22,JAKJMZ01,2134
GCF_002806865.2,ASM280686v2,Cucurbita pepo subsp. pepo,3664,,,mu-cu-16,,,,NCBI Cucurbita pepo subsp. pepo Annotation Release 100,259381069,20,Chromosome,12/7/17,NHTM01,24193
GCF_018446385.1,Zo_v1.1,Zingiber officinale,94328,,,Zhangliang,,,,NCBI Zingiber officinale Annotation Release 100,3090266393,22,Chromosome,5/21/21,JACMSC01,210
GCA_024713555.1,Salk_sp9512.v2,Spirodela polyrhiza,29656,,,,,sp9512,,,140441426,20,Chromosome,10/3/22,JANEYH01,143
GCF_932294415.1,dhQueRobu3.1,Quercus robur,38942,,,,,,,NCBI Quercus robur Annotation Release 100,789187406,12,Chromosome,3/11/22,CAKOAN01,95
GCF_000633955.1,Cs,Camelina sativa,90675,,,DH55,,,,NCBI Camelina sativa Annotation Release 101,641356059,20,Chromosome,4/24/14,JFZQ01,37212
GCA_032690845.1,Eleusine_coracana_v1.0,Eleusine coracana subsp. coracana,191504,,,KNE 796-S,,,,Annotation submitted by University of Georgia,1111714373,18,Chromosome,11/2/23,JASSVF01,674
GCA_032594955.1,BC332,Panicum miliaceum,4540,,,,,332,,,856193914,18,Chromosome,10/12/23,JAVRNH01,580
GCA_024454175.1,ASM2445417v1,Actinidia deliciosa,3627,,,,,284548,,,621990945,29,Chromosome,8/1/22,JAMWYR01,41
GCF_902201215.1,ALMONDv2,Prunus dulcis,3755,,,,,,,NCBI Prunus dulcis Annotation Release 100,227599157,8,Chromosome,10/10/19,CABIKO01,691
GCF_000346735.1,P.mume_V1.0,Prunus mume,102107,,,,,4,,NCBI Prunus mume Annotation Release 101,233872527,8,Chromosome,2/28/14,AOHF01,8625
